experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,targets,start_x,start_z,end_z,target_z,euclideanDistance,objectName,experimentStarted,objectNumber,navStartTime,navEndTime,navTime,timesObjectPresented,end_x,target_x,player_movement_location_0
AMT_standard,given-06811759-7067-4f9b-83e0-fb994e5fd119,1,1,1,1,13.22145,35.52,6,-45.14743,-63.86132,24.85684,26.91298,2.712035,vase,13.22145,6,19.22407,35.52,16.29593,1,-7.193784,-5.425335,AMT_standard/given-06811759-7067-4f9b-83e0-fb994e5fd119/S001/trackers/player_movement_T001.csv
AMT_standard,given-06811759-7067-4f9b-83e0-fb994e5fd119,1,2,2,1,36.52534,68.54,6,28.92838,-63.02224,26.43054,26.91298,37.6857,vase,13.22145,6,42.52876,68.54,26.01125,2,32.25727,-5.425335,AMT_standard/given-06811759-7067-4f9b-83e0-fb994e5fd119/S001/trackers/player_movement_T002.csv
AMT_standard,given-06811759-7067-4f9b-83e0-fb994e5fd119,1,3,2,2,69.54485,91.12,6,-28.18226,-41.87343,-6.420462,26.91298,37.65725,vase,13.22145,6,75.54671,91.12,15.57328,3,-22.94532,-5.425335,AMT_standard/given-06811759-7067-4f9b-83e0-fb994e5fd119/S001/trackers/player_movement_T003.csv
