timestamp,log_type,message,stacktrace
230.0804,Log,End of delay period of trial 11,
230.8469,Log,leftTurn was pressed.,
232.0799,Log,leftTurn was pressed.,
232.5964,Log,forwardKey was pressed.,
234.1294,Log,forwardKey was pressed.,
234.4627,Log,leftTurn was pressed.,
234.7793,Log,leftTurn was pressed.,
235.1625,Log,forwardKey was pressed.,
236.1456,Log,forwardKey was pressed.,
236.5288,Log,leftTurn was pressed.,
238.3284,Log,leftTurn was pressed.,
238.8616,Log,forwardKey was pressed.,
238.88,Log,Object Picked Up!,
238.88,Log,End of trial 11,
238.88,Log,Start of ITI period of trial11,
239.9613,Log,End of ITI period of trial11,
239.9613,Log,Cue start of trial 12,
242.0108,Log,Cue end of trial 12,
242.0108,Log,Start of delay period of trial 12,
246.0432,Log,End of delay period of trial 12,
246.7596,Log,leftTurn was pressed.,
253.7579,Log,leftTurn was pressed.,
254.841,Log,leftTurn was pressed.,
255.0743,Log,leftTurn was pressed.,
255.5075,Log,forwardKey was pressed.,
257.8069,Log,forwardKey was pressed.,
258.1235,Log,rightTurn was pressed.,
258.2901,Log,rightTurn was pressed.,
258.79,Log,forwardKey was pressed.,
261.04,Log,Object Picked Up!,
261.04,Log,End of trial 12,
261.04,Log,Start of ITI period of trial12,
261.1394,Log,rightTurn was pressed.,
262.1392,Log,End of ITI period of trial12,
262.1392,Log,Cue start of trial 13,
264.2054,Log,Cue end of trial 13,
264.2054,Log,Start of delay period of trial 13,
268.221,Log,End of delay period of trial 13,
269.1542,Log,rightTurn was pressed.,
298.297,Log,rightTurn was pressed.,
299.8133,Log,leftTurn was pressed.,
303.4124,Log,leftTurn was pressed.,
303.929,Log,forwardKey was pressed.,
305.1286,Log,forwardKey was pressed.,
305.6119,Log,Confirm button pressed: trial13,
308.0779,Log,rightTurn was pressed.,
309.9108,Log,rightTurn was pressed.,
310.2773,Log,leftTurn was pressed.,
310.8772,Log,leftTurn was pressed.,
311.3604,Log,forwardKey was pressed.,
317.5423,Log,forwardKey was pressed.,
318.0421,Log,rightTurn was pressed.,
