timestamp,log_type,message,stacktrace
642.28,Log,Start of ITI period of trial20,
648.2924,Log,End of ITI period of trial20,
648.2924,Log,Cue start of trial 21,
650.2987,Log,Cue end of trial 21,
650.2987,Log,Start of delay period of trial21,
654.3049,Log,End of delay period of trial 21,
660.3593,Log,Confirm button pressed: trial21,
680.78,Log,Object Picked Up!,
680.78,Log,End of trial 21,
680.78,Log,Start of ITI period of trial21,
686.7916,Log,End of ITI period of trial21,
686.7916,Log,Cue start of trial 22,
688.7982,Log,Cue end of trial 22,
688.7982,Log,Start of delay period of trial22,
692.8043,Log,End of delay period of trial 22,
700.1362,Log,Confirm button pressed: trial22,
703.58,Log,Object Picked Up!,
703.58,Log,End of trial 22,
703.58,Log,Start of ITI period of trial22,
709.5858,Log,End of ITI period of trial22,
709.5858,Log,Cue start of trial 23,
711.5923,Log,Cue end of trial 23,
711.5923,Log,Start of delay period of trial23,
715.5984,Log,End of delay period of trial 23,
723.3886,Log,Confirm button pressed: trial23,
736.26,Log,Object Picked Up!,
736.26,Log,End of trial 23,
736.26,Log,Start of ITI period of trial23,
742.2672,Log,End of ITI period of trial23,
742.2672,Log,Cue start of trial 24,
744.2734,Log,Cue end of trial 24,
744.2734,Log,Start of delay period of trial24,
748.2796,Log,End of delay period of trial 24,
766.5748,Log,Confirm button pressed: trial24,
787.66,Log,Object Picked Up!,
787.66,Log,End of trial 24,
787.66,Log,Start of ITI period of trial24,
793.6666,Log,End of ITI period of trial24,
793.6666,Log,Cue start of trial 25,
795.6732,Log,Cue end of trial 25,
795.6732,Log,Start of delay period of trial25,
799.6794,Log,End of delay period of trial 25,
813.5795,Log,Confirm button pressed: trial25,
828.58,Log,Object Picked Up!,
828.58,Log,End of trial 25,
828.58,Log,Start of ITI period of trial25,
834.5892,Log,End of ITI period of trial25,
834.5892,Log,Cue start of trial 26,
836.5959,Log,Cue end of trial 26,
836.5959,Log,Start of delay period of trial26,
840.6021,Log,End of delay period of trial 26,
847.1215,Log,Confirm button pressed: trial26,
861.56,Log,Object Picked Up!,
861.56,Log,End of trial 26,
861.56,Log,Start of ITI period of trial26,
867.5689,Log,End of ITI period of trial26,
867.5689,Log,Cue start of trial 27,
869.5755,Log,Cue end of trial 27,
869.5755,Log,Start of delay period of trial27,
873.5816,Log,End of delay period of trial 27,
889.8701,Log,Confirm button pressed: trial27,
898.88,Log,Object Picked Up!,
898.88,Log,End of trial 27,
898.88,Log,Start of ITI period of trial27,
904.888,Log,End of ITI period of trial27,
904.888,Log,Cue start of trial 28,
906.8947,Log,Cue end of trial 28,
906.8947,Log,Start of delay period of trial28,
910.9007,Log,End of delay period of trial 28,
929.8553,Log,Confirm button pressed: trial28,
933.4,Log,Object Picked Up!,
933.4,Log,End of trial 28,
933.4,Log,Start of ITI period of trial28,
939.4091,Log,End of ITI period of trial28,
939.4091,Log,Cue start of trial 29,
941.4156,Log,Cue end of trial 29,
941.4156,Log,Start of delay period of trial29,
945.4218,Log,End of delay period of trial 29,
966.2233,Log,Confirm button pressed: trial29,
978.48,Log,Object Picked Up!,
978.48,Log,End of trial 29,
978.48,Log,Start of ITI period of trial29,
984.4906,Log,End of ITI period of trial29,
984.4906,Log,Cue start of trial 30,
986.4971,Log,Cue end of trial 30,
986.4971,Log,Start of delay period of trial30,
990.5033,Log,End of delay period of trial 30,
1013.075,Log,Confirm button pressed: trial30,
1025.56,Log,Object Picked Up!,
1025.56,Log,End of trial 30,
1025.56,Log,Start of ITI period of trial30,
1031.572,Log,End of ITI period of trial30,
1031.572,Log,Cue start of trial 31,
1033.578,Log,Cue end of trial 31,
1033.578,Log,Start of delay period of trial31,
1037.584,Log,End of delay period of trial 31,
1053.769,Log,Confirm button pressed: trial31,
1057.02,Log,Object Picked Up!,
1057.02,Log,End of trial 31,
1057.02,Log,Start of ITI period of trial31,
1063.031,Log,End of ITI period of trial31,
1063.031,Log,Cue start of trial 32,
1065.037,Log,Cue end of trial 32,
1065.037,Log,Start of delay period of trial32,
1069.044,Log,End of delay period of trial 32,
1088.241,Log,Confirm button pressed: trial32,
1092.58,Log,Object Picked Up!,
1092.58,Log,End of trial 32,
1092.58,Log,Start of ITI period of trial32,
1098.586,Log,End of ITI period of trial32,
1098.586,Log,Cue start of trial 33,
1100.593,Log,Cue end of trial 33,
1100.593,Log,Start of delay period of trial33,
1104.599,Log,End of delay period of trial 33,
1122.158,Log,Confirm button pressed: trial33,
1136.86,Log,Object Picked Up!,
1136.86,Log,End of trial 33,
1136.86,Log,Start of ITI period of trial33,
1142.869,Log,End of ITI period of trial33,
1142.869,Log,Cue start of trial 34,
1144.876,Log,Cue end of trial 34,
1144.876,Log,Start of delay period of trial34,
1148.882,Log,End of delay period of trial 34,
1171.17,Log,Confirm button pressed: trial34,
1179.2,Log,Object Picked Up!,
1179.2,Log,End of trial 34,
1179.2,Log,Start of ITI period of trial34,
1185.208,Log,End of ITI period of trial34,
1185.208,Log,Cue start of trial 35,
1187.215,Log,Cue end of trial 35,
1187.215,Log,Start of delay period of trial35,
1191.221,Log,End of delay period of trial 35,
1198.713,Log,Confirm button pressed: trial35,
1214.34,Log,Object Picked Up!,
1214.34,Log,End of trial 35,
1214.34,Log,Start of ITI period of trial35,
1220.347,Log,End of ITI period of trial35,
1220.347,Log,Cue start of trial 36,
1222.354,Log,Cue end of trial 36,
1222.354,Log,Start of delay period of trial36,
1226.36,Log,End of delay period of trial 36,
1241.531,Log,Confirm button pressed: trial36,
1262.38,Log,Object Picked Up!,
1262.38,Log,End of trial 36,
1262.38,Log,Start of ITI period of trial36,
1268.387,Log,End of ITI period of trial36,
1268.387,Log,Cue start of trial 37,
1270.393,Log,Cue end of trial 37,
1270.393,Log,Start of delay period of trial37,
1274.399,Log,End of delay period of trial 37,
1291.563,Log,Confirm button pressed: trial37,
1294.8,Log,Object Picked Up!,
1294.8,Log,End of trial 37,
1294.8,Log,Start of ITI period of trial37,
1300.811,Log,End of ITI period of trial37,
1300.811,Log,Cue start of trial 38,
1302.817,Log,Cue end of trial 38,
1302.817,Log,Start of delay period of trial38,
1306.824,Log,End of delay period of trial 38,
1319.155,Log,Confirm button pressed: trial38,
1327.26,Log,Object Picked Up!,
1327.26,Log,End of trial 38,
1327.26,Log,Start of ITI period of trial38,
1333.27,Log,End of ITI period of trial38,
1333.27,Log,Cue start of trial 39,
1335.276,Log,Cue end of trial 39,
1335.276,Log,Start of delay period of trial39,
1339.283,Log,End of delay period of trial 39,
1359.306,Log,Confirm button pressed: trial39,
1366.66,Log,Object Picked Up!,
1366.66,Log,End of trial 39,
1366.66,Log,Start of ITI period of trial39,
1372.672,Log,End of ITI period of trial39,
1372.672,Log,Cue start of trial 40,
1374.678,Log,Cue end of trial 40,
1374.678,Log,Start of delay period of trial40,
1378.685,Log,End of delay period of trial 40,
1389.946,Log,Confirm button pressed: trial40,
1399.06,Log,Object Picked Up!,
1399.06,Log,End of trial 40,
1399.06,Log,Start of ITI period of trial40,
1405.068,Log,End of ITI period of trial40,
1405.068,Log,Cue start of trial 41,
1407.075,Log,Cue end of trial 41,
1407.075,Log,Start of delay period of trial41,
1411.081,Log,End of delay period of trial 41,
1427.626,Log,Confirm button pressed: trial41,
1440.42,Log,Object Picked Up!,
1440.42,Log,End of trial 41,
1440.42,Log,Start of ITI period of trial41,
1446.428,Log,End of ITI period of trial41,
1446.428,Log,Cue start of trial 42,
1448.435,Log,Cue end of trial 42,
1448.435,Log,Start of delay period of trial42,
1452.441,Log,End of delay period of trial 42,
1471.694,Log,Confirm button pressed: trial42,
1473.24,Log,Object Picked Up!,
1473.24,Log,End of trial 42,
1473.24,Log,Start of ITI period of trial42,
1479.248,Log,End of ITI period of trial42,
1479.248,Log,Cue start of trial 43,
1481.255,Log,Cue end of trial 43,
1481.255,Log,Start of delay period of trial43,
1485.261,Log,End of delay period of trial 43,
1496.085,Log,Confirm button pressed: trial43,
1503.18,Log,Object Picked Up!,
1503.18,Log,End of trial 43,
1503.18,Log,Start of ITI period of trial43,
1509.187,Log,End of ITI period of trial43,
1509.187,Log,Cue start of trial 44,
1511.193,Log,Cue end of trial 44,
1511.193,Log,Start of delay period of trial44,
1515.2,Log,End of delay period of trial 44,
1533.071,Log,Confirm button pressed: trial44,
1538.34,Log,Object Picked Up!,
1538.34,Log,End of trial 44,
1538.34,Log,Start of ITI period of trial44,
1544.347,Log,End of ITI period of trial44,
1544.347,Log,Cue start of trial 45,
1546.353,Log,Cue end of trial 45,
1546.353,Log,Start of delay period of trial45,
1550.359,Log,End of delay period of trial 45,
1558.636,Log,Confirm button pressed: trial45,
1564.34,Log,Object Picked Up!,
1564.34,Log,End of trial 45,
1564.34,Log,Start of ITI period of trial45,
1570.349,Log,End of ITI period of trial45,
1570.349,Log,Cue start of trial 46,
1572.355,Log,Cue end of trial 46,
1572.355,Log,Start of delay period of trial46,
1576.361,Log,End of delay period of trial 46,
1598.815,Log,Confirm button pressed: trial46,
1601.92,Log,Object Picked Up!,
1601.92,Log,End of trial 46,
1601.92,Log,Start of ITI period of trial46,
1607.932,Log,End of ITI period of trial46,
1607.932,Log,Cue start of trial 47,
1609.938,Log,Cue end of trial 47,
1609.938,Log,Start of delay period of trial47,
1613.944,Log,End of delay period of trial 47,
1619.672,Log,Confirm button pressed: trial47,
1624.9,Log,Object Picked Up!,
1624.9,Log,End of trial 47,
1624.9,Log,Start of ITI period of trial47,
1630.906,Log,End of ITI period of trial47,
1630.906,Log,Cue start of trial 48,
1632.913,Log,Cue end of trial 48,
1632.913,Log,Start of delay period of trial48,
1636.919,Log,End of delay period of trial 48,
1643.911,Log,Confirm button pressed: trial48,
1655.22,Log,Object Picked Up!,
1655.22,Log,End of trial 48,
1655.22,Log,Start of ITI period of trial48,
1661.227,Log,End of ITI period of trial48,
1661.227,Log,Cue start of trial 49,
1663.233,Log,Cue end of trial 49,
1663.233,Log,Start of delay period of trial49,
1667.24,Log,End of delay period of trial 49,
1676.238,Log,Confirm button pressed: trial49,
1679.42,Log,Object Picked Up!,
1679.42,Log,End of trial 49,
1679.42,Log,Start of ITI period of trial49,
1685.43,Log,End of ITI period of trial49,
1685.43,Log,Cue start of trial 50,
1687.437,Log,Cue end of trial 50,
1687.437,Log,Start of delay period of trial50,
1691.443,Log,End of delay period of trial 50,
1707.405,Log,Confirm button pressed: trial50,
1721.42,Log,Object Picked Up!,
1721.42,Log,End of trial 50,
1721.42,Log,Start of ITI period of trial50,
1727.429,Log,End of ITI period of trial50,
1727.429,Log,Cue start of trial 51,
1729.436,Log,Cue end of trial 51,
1729.436,Log,Start of delay period of trial51,
1733.442,Log,End of delay period of trial 51,
1744.69,Log,Confirm button pressed: trial51,
1756.48,Log,Object Picked Up!,
1756.48,Log,End of trial 51,
1756.48,Log,Start of ITI period of trial51,
1762.492,Log,End of ITI period of trial51,
1762.492,Log,Cue start of trial 52,
1764.498,Log,Cue end of trial 52,
1764.498,Log,Start of delay period of trial52,
1768.505,Log,End of delay period of trial 52,
1778.391,Log,Confirm button pressed: trial52,
1793.82,Log,Object Picked Up!,
1793.82,Log,End of trial 52,
1793.82,Log,Start of ITI period of trial52,
1799.832,Log,End of ITI period of trial52,
1799.832,Log,Cue start of trial 53,
1801.838,Log,Cue end of trial 53,
1801.838,Log,Start of delay period of trial53,
1805.845,Log,End of delay period of trial 53,
1820.779,Log,Confirm button pressed: trial53,
1825.82,Log,Object Picked Up!,
1825.82,Log,End of trial 53,
1825.82,Log,Start of ITI period of trial53,
1831.833,Log,End of ITI period of trial53,
1831.833,Log,Cue start of trial 54,
1833.839,Log,Cue end of trial 54,
1833.839,Log,Start of delay period of trial54,
1837.845,Log,End of delay period of trial 54,
1848.975,Log,Confirm button pressed: trial54,
1859.06,Log,Object Picked Up!,
1859.06,Log,End of trial 54,
1859.06,Log,Start of ITI period of trial54,
1865.069,Log,End of ITI period of trial54,
1865.069,Log,Cue start of trial 55,
1867.076,Log,Cue end of trial 55,
1867.076,Log,Start of delay period of trial55,
1871.082,Log,End of delay period of trial 55,
1879.004,Log,Confirm button pressed: trial55,
1888.42,Log,Object Picked Up!,
1888.42,Log,End of trial 55,
1888.42,Log,Start of ITI period of trial55,
1894.431,Log,End of ITI period of trial55,
1894.431,Log,Cue start of trial 56,
1896.438,Log,Cue end of trial 56,
1896.438,Log,Start of delay period of trial56,
1900.444,Log,End of delay period of trial 56,
1915.823,Log,Confirm button pressed: trial56,
1935.86,Log,Object Picked Up!,
1935.86,Log,End of trial 56,
1935.86,Log,Start of ITI period of trial56,
1941.867,Log,End of ITI period of trial56,
1941.867,Log,Cue start of trial 57,
1943.873,Log,Cue end of trial 57,
1943.873,Log,Start of delay period of trial57,
1947.879,Log,End of delay period of trial 57,
1964.383,Log,Confirm button pressed: trial57,
1971.5,Log,Object Picked Up!,
1971.5,Log,End of trial 57,
1971.5,Log,Start of ITI period of trial57,
1977.512,Log,End of ITI period of trial57,
1977.512,Log,Cue start of trial 58,
1979.519,Log,Cue end of trial 58,
1979.519,Log,Start of delay period of trial58,
1983.525,Log,End of delay period of trial 58,
2008.527,Log,Confirm button pressed: trial58,
2011.9,Log,Object Picked Up!,
2011.9,Log,End of trial 58,
2011.9,Log,Start of ITI period of trial58,
2017.908,Log,End of ITI period of trial58,
2017.908,Log,Cue start of trial 59,
2019.914,Log,Cue end of trial 59,
2019.914,Log,Start of delay period of trial59,
2023.92,Log,End of delay period of trial 59,
2035.834,Log,Confirm button pressed: trial59,
2038.52,Log,Object Picked Up!,
2038.52,Log,End of trial 59,
2038.52,Log,Start of ITI period of trial59,
2044.527,Log,End of ITI period of trial59,
2044.527,Log,Cue start of trial 60,
2046.534,Log,Cue end of trial 60,
2046.534,Log,Start of delay period of trial60,
2050.54,Log,End of delay period of trial 60,
2071.862,Log,Confirm button pressed: trial60,
2083.8,Log,Object Picked Up!,
2083.8,Log,End of trial 60,
2083.8,Log,Start of ITI period of trial60,
2089.81,Log,End of ITI period of trial60,
2089.81,Log,Cue start of trial 61,
2091.817,Log,Cue end of trial 61,
2091.817,Log,Start of delay period of trial61,
2095.823,Log,End of delay period of trial 61,
2102.919,Log,Confirm button pressed: trial61,
2114.34,Log,Object Picked Up!,
2114.34,Log,End of trial 61,
2114.34,Log,Start of ITI period of trial61,
2120.346,Log,End of ITI period of trial61,
2120.346,Log,Cue start of trial 62,
2122.352,Log,Cue end of trial 62,
2122.352,Log,Start of delay period of trial62,
2126.358,Log,End of delay period of trial 62,
2148.098,Log,Confirm button pressed: trial62,
2156.46,Log,Object Picked Up!,
2156.46,Log,End of trial 62,
2156.46,Log,Start of ITI period of trial62,
2162.469,Log,End of ITI period of trial62,
2162.469,Log,Cue start of trial 63,
2164.476,Log,Cue end of trial 63,
2164.476,Log,Start of delay period of trial63,
2168.482,Log,End of delay period of trial 63,
2186.187,Log,Confirm button pressed: trial63,
2195.42,Log,Object Picked Up!,
2195.42,Log,End of trial 63,
2195.42,Log,Start of ITI period of trial63,
2201.427,Log,End of ITI period of trial63,
2201.427,Log,Cue start of trial 64,
2203.434,Log,Cue end of trial 64,
2203.434,Log,Start of delay period of trial64,
2207.44,Log,End of delay period of trial 64,
2228.623,Log,Confirm button pressed: trial64,
2229.72,Log,Object Picked Up!,
2229.72,Log,End of trial 64,
2229.72,Log,Start of ITI period of trial64,
2235.726,Log,End of ITI period of trial64,
2235.726,Log,Cue start of trial 65,
2237.733,Log,Cue end of trial 65,
2237.733,Log,Start of delay period of trial65,
2241.739,Log,End of delay period of trial 65,
2253.16,Log,Confirm button pressed: trial65,
2265.36,Log,Object Picked Up!,
2265.36,Log,End of trial 65,
2265.36,Log,Start of ITI period of trial65,
2271.372,Log,End of ITI period of trial65,
2271.372,Log,Cue start of trial 66,
2273.378,Log,Cue end of trial 66,
2273.378,Log,Start of delay period of trial66,
2277.385,Log,End of delay period of trial 66,
2286.98,Log,Confirm button pressed: trial66,
2294.92,Log,Object Picked Up!,
2294.92,Log,End of trial 66,
2294.92,Log,Start of ITI period of trial66,
2300.929,Log,End of ITI period of trial66,
2300.929,Log,Cue start of trial 67,
2302.935,Log,Cue end of trial 67,
2302.935,Log,Start of delay period of trial67,
2306.941,Log,End of delay period of trial 67,
2312.718,Log,Confirm button pressed: trial67,
2316.42,Log,Object Picked Up!,
2316.42,Log,End of trial 67,
2316.42,Log,Start of ITI period of trial67,
2322.431,Log,End of ITI period of trial67,
2322.431,Log,Cue start of trial 68,
2324.438,Log,Cue end of trial 68,
2324.438,Log,Start of delay period of trial68,
2328.444,Log,End of delay period of trial 68,
2334.665,Log,Confirm button pressed: trial68,
2337.3,Log,Object Picked Up!,
2337.3,Log,End of trial 68,
2337.3,Log,Start of ITI period of trial68,
2343.309,Log,End of ITI period of trial68,
2343.309,Log,Cue start of trial 69,
2345.316,Log,Cue end of trial 69,
2345.316,Log,Start of delay period of trial69,
2349.323,Log,End of delay period of trial 69,
2358.66,Log,Confirm button pressed: trial69,
2366.12,Log,Object Picked Up!,
2366.12,Log,End of trial 69,
2366.12,Log,Start of ITI period of trial69,
2372.13,Log,End of ITI period of trial69,
2372.13,Log,Cue start of trial 70,
2374.137,Log,Cue end of trial 70,
2374.137,Log,Start of delay period of trial70,
2378.143,Log,End of delay period of trial 70,
2384.871,Log,Confirm button pressed: trial70,
2397.9,Log,Object Picked Up!,
2397.9,Log,End of trial 70,
2397.9,Log,Start of ITI period of trial70,
2403.908,Log,End of ITI period of trial70,
2403.908,Log,Cue start of trial 71,
2405.915,Log,Cue end of trial 71,
2405.915,Log,Start of delay period of trial71,
2409.921,Log,End of delay period of trial 71,
2419.475,Log,Confirm button pressed: trial71,
2425.8,Log,Object Picked Up!,
2425.8,Log,End of trial 71,
2425.8,Log,Start of ITI period of trial71,
2431.806,Log,End of ITI period of trial71,
2431.806,Log,Cue start of trial 72,
2433.813,Log,Cue end of trial 72,
2433.813,Log,Start of delay period of trial72,
2437.819,Log,End of delay period of trial 72,
2451.156,Log,Confirm button pressed: trial72,
2461.88,Log,Object Picked Up!,
2461.88,Log,End of trial 72,
2461.88,Log,Start of ITI period of trial72,
