block_num,targets,start_x,start_z,object_x,object_z,cue,delay,ITI,trialType,speedForward,rotationSpeed,messageToDisplay,start_yRotation
1,7,42.4264068711928,-42.4264068711929,57.9555495773441,15.5291427061512,2,1.5,1,encoding,15,50,-1,110.235077664256
1,10,57.9555495773441,15.5291427061512,42.4264068711928,-42.4264068711929,2,1.5,2,encoding,15,50,-1,357.932326896116
1,3,57.9555495773441,15.5291427061512,-15.5291427061512,-57.9555495773441,2,1,2,encoding,15,50,-1,90.39784938097
1,3,15.5291427061512,57.9555495773441,-15.5291427061512,-57.9555495773441,2,1,2,encoding,15,50,-1,54.4957840070128
1,12,-57.9555495773441,-15.5291427061512,-42.4264068711928,42.4264068711929,2,1.5,1,encoding,15,50,-1,185.909911952913
1,10,-42.4264068711928,42.4264068711929,42.4264068711928,-42.4264068711929,2,2,1,encoding,15,50,-1,206.388949267566
1,12,-57.9555495773441,-15.5291427061512,-42.4264068711928,42.4264068711929,2,2,1.5,encoding,15,50,-1,100.002614725381
1,5,42.4264068711928,-42.4264068711929,-57.9555495773441,-15.5291427061512,2,2,1.5,encoding,15,50,-1,265.505711361766
1,2,-15.5291427061512,-57.9555495773441,15.5291427061512,57.9555495773441,2,1,2,encoding,15,50,-1,227.401266563684
1,2,-42.4264068711928,42.4264068711929,15.5291427061512,57.9555495773441,2,1,1,encoding,15,50,-1,310.440480792895
1,7,15.5291427061512,57.9555495773441,57.9555495773441,15.5291427061512,2,2,1.5,encoding,15,50,-1,210.1999933552
1,5,-15.5291427061512,-57.9555495773441,-57.9555495773441,-15.5291427061512,2,1.5,1.5,encoding,15,50,1,136.433021463454
2,2,57.9555495773441,15.5291427061512,15.5291427061512,57.9555495773441,2,1.5,1.5,retrieval,15,50,-1,30.0247456133366
2,2,57.9555495773441,15.5291427061512,15.5291427061512,57.9555495773441,2,1.5,1,retrieval,15,50,-1,251.037836205214
2,12,15.5291427061512,57.9555495773441,-42.4264068711928,42.4264068711929,2,2,1.5,retrieval,15,50,-1,15.9580463636667
2,3,-57.9555495773441,-15.5291427061512,-15.5291427061512,-57.9555495773441,2,1.5,2,retrieval,15,50,-1,44.6421969216317
2,12,42.4264068711928,-42.4264068711929,-42.4264068711928,42.4264068711929,2,1,1.5,retrieval,15,50,-1,84.9653113726526
2,10,-15.5291427061512,-57.9555495773441,42.4264068711928,-42.4264068711929,2,1,1,retrieval,15,50,-1,263.079757327214
2,3,15.5291427061512,57.9555495773441,-15.5291427061512,-57.9555495773441,2,2,1,retrieval,15,50,-1,312.447968646884
2,10,-57.9555495773441,-15.5291427061512,42.4264068711928,-42.4264068711929,2,2,1,retrieval,15,50,-1,267.448192862794
2,5,-15.5291427061512,-57.9555495773441,-57.9555495773441,-15.5291427061512,2,1,2,retrieval,15,50,-1,224.128465214744
2,7,42.4264068711928,-42.4264068711929,57.9555495773441,15.5291427061512,2,1.5,1.5,retrieval,15,50,-1,153.927962779999
2,5,-42.4264068711928,42.4264068711929,-57.9555495773441,-15.5291427061512,2,2,2,retrieval,15,50,-1,321.037375889719
2,7,-42.4264068711928,42.4264068711929,57.9555495773441,15.5291427061512,2,1,2,retrieval,15,50,2,280.249465294182
3,9,15.5291427061512,57.9555495773441,-57.9555495773441,-15.5291427061512,2,1,2,control,15,50,-1,25.5736801028252
3,9,15.5291427061512,57.9555495773441,-15.5291427061512,-57.9555495773441,2,1.5,1.5,control,15,50,-1,283.852555286139
3,9,15.5291427061512,57.9555495773441,57.9555495773441,15.5291427061512,2,2,1,control,15,50,-1,157.470335355029
3,9,15.5291427061512,57.9555495773441,42.4264068711928,-42.4264068711929,2,1.5,1.5,control,15,50,-1,162.690875502303
3,9,-15.5291427061512,-57.9555495773441,15.5291427061512,57.9555495773441,2,2,1,control,15,50,-1,106.044249795377
3,9,15.5291427061512,57.9555495773441,-42.4264068711928,42.4264068711929,2,1,2,control,15,50,-1,182.377193234861
