block_num,run,targets,start_x,start_z,object_x,object_z,cue,delay,ITI,trialType,speedForward,rotationSpeed,messageToDisplay,start_yRotation
1,1,13,-30,-51.9615242270663,60,-1.46952762458685e-14,2,1.6,1.8,encoding,15,50,-1,281.254000933841
1,1,4,-60,7.34763812293426e-15,-30,-51.9615242270663,2,1,1.4,encoding,15,50,-1,70.3760036453605
1,1,11,-30,-51.9615242270663,-60,7.34763812293426e-15,2,1.2,1.8,encoding,15,50,-1,58.2908473256975
1,1,6,30,51.9615242270663,30,-51.9615242270663,2,2,1,encoding,15,50,-1,55.8481151517481
1,1,13,-30,51.9615242270663,60,-1.46952762458685e-14,2,1.6,2,encoding,15,50,-1,297.245578514412
1,1,6,-30,51.9615242270663,30,-51.9615242270663,2,1.8,1.4,encoding,15,50,-1,146.254684980959
1,1,8,-30,-51.9615242270663,-30,51.9615242270663,2,1.4,2,encoding,15,50,-1,166.367230787873
1,1,8,60,-1.46952762458685e-14,-30,51.9615242270663,2,1,1.4,encoding,15,50,-1,332.758593242615
1,1,1,30,-51.9615242270663,30,51.9615242270663,2,1.8,1.8,encoding,15,50,-1,179.779989374802
1,1,4,30,-51.9615242270663,-30,-51.9615242270663,2,1.4,1.6,encoding,15,50,-1,34.0774335991591
1,1,11,30,-51.9615242270663,-60,7.34763812293426e-15,2,2,1.8,encoding,15,50,-1,184.001451255754
1,1,4,60,-1.46952762458685e-14,-30,-51.9615242270663,2,2,1.6,encoding,15,50,-1,326.512624137104
1,1,8,30,-51.9615242270663,-30,51.9615242270663,2,1,1.4,encoding,15,50,-1,334.441055115312
1,1,4,30,51.9615242270663,-30,-51.9615242270663,2,1.4,1.6,encoding,15,50,-1,228.722315942869
1,1,6,-30,-51.9615242270663,30,-51.9615242270663,2,1,2,encoding,15,50,-1,248.623184580356
1,1,1,60,-1.46952762458685e-14,30,51.9615242270663,2,1.2,2,encoding,15,50,-1,278.903780998662
1,1,8,30,51.9615242270663,-30,51.9615242270663,2,1.4,2,encoding,15,50,-1,331.983036613092
1,1,11,60,-1.46952762458685e-14,-60,7.34763812293426e-15,2,2,1.6,encoding,15,50,-1,198.529622722417
1,1,1,-30,51.9615242270663,30,51.9615242270663,2,2,1.4,encoding,15,50,-1,261.599773066118
1,1,8,-60,7.34763812293426e-15,-30,51.9615242270663,2,2,1,encoding,15,50,-1,286.529575902969
1,1,1,-60,7.34763812293426e-15,30,51.9615242270663,2,1.2,1.2,encoding,15,50,-1,211.573515124619
1,1,11,30,51.9615242270663,-60,7.34763812293426e-15,2,1.4,1.8,encoding,15,50,-1,76.1682375334203
1,1,11,-30,51.9615242270663,-60,7.34763812293426e-15,2,1,1.8,encoding,15,50,-1,308.537895474583
