block_num,targets,start_x,start_z,object_x,object_z,cue,delay,ITI,trialType,speedForward,rotationSpeed,messageToDisplay,start_yRotation
1,11,-30,51.9615242270663,-60,7.34763812293426e-15,1,1,0,encoding,15,50,-1,7.25865891203284
1,13,-60,7.34763812293426e-15,60,-1.46952762458685e-14,0,0,0,encoding,15,50,-1,0
1,4,60,-1.46952762458685e-14,-30,-51.9615242270663,0,0,0,encoding,15,50,-1,0
1,1,-30,-51.9615242270663,30,51.9615242270663,0,0,0,encoding,15,50,-1,0
1,13,30,51.9615242270663,60,-1.46952762458685e-14,0,0,0,encoding,15,50,-1,0
1,11,60,-1.46952762458685e-14,-60,7.34763812293426e-15,0,0,0,encoding,15,50,-1,0
1,8,-60,7.34763812293426e-15,-30,51.9615242270663,0,0,0,encoding,15,50,-1,0
1,13,-30,51.9615242270663,60,-1.46952762458685e-14,0,0,0,encoding,15,50,-1,0
1,1,60,-1.46952762458685e-14,30,51.9615242270663,0,0,0,encoding,15,50,-1,0
1,11,30,51.9615242270663,-60,7.34763812293426e-15,0,0,0,encoding,15,50,-1,0
1,6,-60,7.34763812293426e-15,30,-51.9615242270663,0,0,0,encoding,15,50,-1,0
1,8,30,-51.9615242270663,-30,51.9615242270663,0,0,0,encoding,15,50,-1,0
1,6,-30,51.9615242270663,30,-51.9615242270663,0,0,0,encoding,15,50,-1,0
1,11,30,-51.9615242270663,-60,7.34763812293426e-15,0,0,0,encoding,15,50,-1,0
1,4,-60,7.34763812293426e-15,-30,-51.9615242270663,0,0,0,encoding,15,50,-1,0
1,13,-30,-51.9615242270663,60,-1.46952762458685e-14,0,0,0,encoding,15,50,-1,0
1,6,60,-1.46952762458685e-14,30,-51.9615242270663,0,0,0,encoding,15,50,-1,0
1,4,30,-51.9615242270663,-30,-51.9615242270663,0,0,0,encoding,15,50,-1,0
1,8,-30,-51.9615242270663,-30,51.9615242270663,0,0,0,encoding,15,50,-1,0
1,1,-30,51.9615242270663,30,51.9615242270663,0,0,0,encoding,15,50,-1,0
1,6,30,51.9615242270663,30,-51.9615242270663,0,0,0,encoding,15,50,-1,0
1,13,30,-51.9615242270663,60,-1.46952762458685e-14,0,0,0,encoding,15,50,-1,0
1,8,60,-1.46952762458685e-14,-30,51.9615242270663,0,0,0,encoding,15,50,-1,0
1,4,-30,51.9615242270663,-30,-51.9615242270663,0,0,0,encoding,15,50,-1,0
1,11,-30,-51.9615242270663,-60,7.34763812293426e-15,0,0,0,encoding,15,50,-1,0
1,1,-60,7.34763812293426e-15,30,51.9615242270663,0,0,0,encoding,15,50,-1,0
1,4,30,51.9615242270663,-30,-51.9615242270663,0,0,0,encoding,15,50,-1,0
1,6,-30,-51.9615242270663,30,-51.9615242270663,0,0,0,encoding,15,50,-1,0
1,1,30,-51.9615242270663,30,51.9615242270663,0,0,0,encoding,15,50,-1,0
1,8,30,51.9615242270663,-30,51.9615242270663,0,0,0,encoding,15,50,-1,0
