targets,targetNames,trial_num,block_num,start_x,start_z,object_x,object_z,quadrant,cue,delay,ITI,trialType,speedForward,rotationSpeed,messageToDisplay,start_yRotation
32,measurement_tape,47,3,0,0,-8.75,15.1554445,1,1,0.2,1.5,retrieval,20,60,-1,298.492587022483
26,harmonica,48,3,0,0,-61.25,45.4663336324554,1,1,0.2,1.5,retrieval,20,60,-1,276.079017939046
28,insulating_tape,49,4,0,0,43.75,45.4663336324554,2,1,0.2,1.5,retrieval,20,60,-1,36.1191300116479
30,keyboard,50,4,0,0,61.25,-45.4663337649107,4,1,0.2,1.5,retrieval,20,60,-1,198.639063220471
31,lemon,51,4,0,0,-26.25,45.4663336324554,1,1,0.2,1.5,retrieval,20,60,-1,207.921714121476
22,drill,52,4,0,0,26.25,15.1554445,2,1,0.2,1.5,retrieval,20,60,-1,59.2679833620787
15,apple,53,4,0,0,-43.75,15.1554445,1,1,0.2,1.5,retrieval,20,60,-1,105.099923377857
32,measurement_tape,54,4,0,0,-8.75,15.1554445,1,1,0.2,1.5,retrieval,20,60,-1,316.86948241666
20,deer,55,4,0,0,43.75,-15.1554446324554,4,1,0.2,1.5,retrieval,20,60,-1,71.4364922605455
21,dog,56,4,0,0,26.25,-45.4663337649107,4,1,0.2,1.5,retrieval,20,60,-1,8.68035768158734
17,chimpanzee,57,4,0,0,-26.25,-15.1554446324554,3,1,0.2,1.5,retrieval,20,60,-1,275.38121368736
23,elephant,58,4,0,0,61.25,15.1554445,2,1,0.2,1.5,retrieval,20,60,-1,40.6775531172752
33,orange,59,4,0,0,8.75,-15.1554446324554,4,1,0.2,1.5,retrieval,20,60,-1,180.65752023831
26,harmonica,60,4,0,0,-61.25,45.4663336324554,1,1,0.2,1.5,retrieval,20,60,-1,304.971733717248
24,guitar,61,4,0,0,8.75,45.4663336324554,2,1,0.2,1.5,retrieval,20,60,-1,68.0540846195072
16,banana,62,4,0,0,-61.25,-15.1554446324554,3,1,0.2,1.5,retrieval,20,60,-1,285.02514607273
19,cutter_knife,63,4,0,0,-8.75,-45.4663337649107,3,1,0.2,1.5,retrieval,20,60,-1,154.761114986613
18,clarinet,64,4,0,0,-43.75,-45.4663337649107,3,1,0.2,1.5,retrieval,20,60,-1,41.5298420470208
30,keyboard,65,5,0,0,61.25,-45.4663337649107,4,1,0.2,1.5,retrieval,20,60,-1,353.402174022049
19,cutter_knife,66,5,0,0,-8.75,-45.4663337649107,3,1,0.2,1.5,retrieval,20,60,-1,211.20140128769
21,dog,67,5,0,0,26.25,-45.4663337649107,4,1,0.2,1.5,retrieval,20,60,-1,237.464681016281
18,clarinet,68,5,0,0,-43.75,-45.4663337649107,3,1,0.2,1.5,retrieval,20,60,-1,148.541703606024
15,apple,69,5,0,0,-43.75,15.1554445,1,1,0.2,1.5,retrieval,20,60,-1,318.102020490915
20,deer,70,5,0,0,43.75,-15.1554446324554,4,1,0.2,1.5,retrieval,20,60,-1,142.336272988468
31,lemon,71,5,0,0,-26.25,45.4663336324554,1,1,0.2,1.5,retrieval,20,60,-1,15.9484170656651
22,drill,72,5,0,0,26.25,15.1554445,2,1,0.2,1.5,retrieval,20,60,-1,201.604413762689
23,elephant,73,5,0,0,61.25,15.1554445,2,1,0.2,1.5,retrieval,20,60,-1,136.558143328875
28,insulating_tape,74,5,0,0,43.75,45.4663336324554,2,1,0.2,1.5,retrieval,20,60,-1,301.412172038108
33,orange,75,5,0,0,8.75,-15.1554446324554,4,1,0.2,1.5,retrieval,20,60,-1,130.681891422719
24,guitar,76,5,0,0,8.75,45.4663336324554,2,1,0.2,1.5,retrieval,20,60,-1,230.661904765293
26,harmonica,77,5,0,0,-61.25,45.4663336324554,1,1,0.2,1.5,retrieval,20,60,-1,271.493181316182
32,measurement_tape,78,5,0,0,-8.75,15.1554445,1,1,0.2,1.5,retrieval,20,60,-1,253.945580609143
16,banana,79,5,0,0,-61.25,-15.1554446324554,3,1,0.2,1.5,retrieval,20,60,-1,76.2823593243957
17,chimpanzee,80,5,0,0,-26.25,-15.1554446324554,3,1,0.2,1.5,retrieval,20,60,-1,137.864492945373
16,banana,81,6,0,0,-61.25,-15.1554446324554,3,1,0.2,1.5,retrieval,20,60,-1,245.228915875778
32,measurement_tape,82,6,0,0,-8.75,15.1554445,1,1,0.2,1.5,retrieval,20,60,-1,176.442252835259
24,guitar,83,6,0,0,8.75,45.4663336324554,2,1,0.2,1.5,retrieval,20,60,-1,353.247965276241
31,lemon,84,6,0,0,-26.25,45.4663336324554,1,1,0.2,1.5,retrieval,20,60,-1,58.4004125464708
33,orange,85,6,0,0,8.75,-15.1554446324554,4,1,0.2,1.5,retrieval,20,60,-1,193.276095595211
30,keyboard,86,6,0,0,61.25,-45.4663337649107,4,1,0.2,1.5,retrieval,20,60,-1,188.579614497721
