block_num,targets,start_x,start_z,object_x,object_z,cue,delay,ITI,trialType,speedForward,rotationSpeed,messageToDisplay,start_yRotation
1,7,42.42640687,-42.42640687,57.95554958,15.52914271,2,1.5,1,encoding,15,50,0,110.2350777
2,9,15.52914271,57.95554958,-42.42640687,42.42640687,2,1,2,control,15,50,-1,182.3771932
3,2,57.95554958,15.52914271,15.52914271,57.95554958,2,1.5,1.5,retrieval,15,50,1,30.02474561
3,2,40,15.52914271,15.52914271,57.95554958,2,1.5,1.5,retrieval,15,50,-1,30.02474561
