#0D0887FF
#130789FF
#18068CFF
#1C068EFF
#21068FFF
#250691FF
#290592FF
#2C0594FF
#2F0596FF
#330597FF
#370499FF
#39049AFF
#3D049CFF
#40049CFF
#43039EFF
#46039FFF
#4903A0FF
#4C02A1FF
#5002A2FF
#5202A3FF
#5501A4FF
#5801A4FF
#5B01A5FF
#5E01A6FF
#6100A7FF
#6400A7FF
#6700A8FF
#6A00A8FF
#6D00A8FF
#7000A8FF
#7201A8FF
#7501A8FF
#7801A8FF
#7B02A8FF
#7E03A8FF
#8104A7FF
#8405A7FF
#8706A6FF
#8808A6FF
#8B0AA5FF
#8E0CA4FF
#910EA3FF
#9410A2FF
#9512A1FF
#99149FFF
#9B169FFF
#9D189DFF
#A01A9CFF
#A21D9AFF
#A51F99FF
#A72197FF
#A92395FF
#AB2594FF
#AD2793FF
#B02991FF
#B22B8FFF
#B42E8DFF
#B6308BFF
#B83289FF
#BB3488FF
#BD3686FF
#BE3885FF
#C03A83FF
#C23C81FF
#C43E7FFF
#C6417DFF
#C8437BFF
#CA457AFF
#CC4678FF
#CC4977FF
#CE4B75FF
#D04D73FF
#D24F71FF
#D45270FF
#D5546EFF
#D7566CFF
#D8576AFF
#DA5A6AFF
#DB5C68FF
#DD5E66FF
#DE6164FF
#E06363FF
#E26561FF
#E3675FFF
#E5695DFF
#E56B5DFF
#E76E5BFF
#E87059FF
#E97257FF
#EB7556FF
#EC7754FF
#ED7A52FF
#EF7B51FF
#EF7E50FF
#F0804EFF
#F1834CFF
#F3854BFF
#F48849FF
#F58B47FF
#F68C45FF
#F69044FF
#F79243FF
#F89441FF
#F9973FFF
#F99A3EFF
#FA9C3CFF
#FB9F3AFF
#FBA238FF
#FCA438FF
#FCA736FF
#FCA934FF
#FDAC33FF
#FDAF31FF
#FDB22FFF
#FDB52EFF
#FEB82CFF
#FEBB2CFF
#FEBD2AFF
#FEC129FF
#FDC328FF
#FDC627FF
#FDCA26FF
#FCCD25FF
#FCCF25FF
#FCD225FF
#FBD624FF
#FAD824FF
#F9DC24FF
#F8DF25FF
#F7E225FF
#F6E526FF
#F5E926FF
#F5EC27FF
#F3EF27FF
#F2F327FF
#F1F525FF
#F0F921FF
