time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,moving
1142.869,66.74107,2,39.2833,0.000001,310.8549,-0.000001,False
1142.876,66.74107,2,39.2833,0.000001,310.8549,-0.000001,False
1142.883,66.74107,1.996076,39.2833,0.000001,310.8549,-0.000001,False
1142.89,66.74107,1.996076,39.2833,0.000001,310.8549,-0.000001,False
1142.897,66.74107,1.996076,39.2833,0.000001,310.8549,-0.000001,False
1142.904,66.74107,1.988228,39.2833,0.000001,310.8549,-0.000001,False
1142.911,66.74107,1.988228,39.2833,0.000001,310.8549,-0.000001,False
1142.918,66.74107,1.988228,39.2833,0.000001,310.8549,-0.000001,False
1142.925,66.74107,1.976456,39.2833,0.000001,310.8549,-0.000001,False
1142.932,66.74107,1.976456,39.2833,0.000001,310.8549,-0.000001,False
1142.939,66.74107,1.976456,39.2833,0.000001,310.8549,-0.000001,False
1142.946,66.74107,1.96076,39.2833,0.000001,310.8549,-0.000001,False
1142.953,66.74107,1.96076,39.2833,0.000001,310.8549,-0.000001,False
1142.96,66.74107,1.96076,39.2833,0.000001,310.8549,-0.000001,False
1142.967,66.74107,1.94114,39.2833,0.000001,310.8549,-0.000001,False
1142.974,66.74107,1.94114,39.2833,0.000001,310.8549,-0.000001,False
1142.98,66.74107,1.917596,39.2833,0.000001,310.8549,-0.000001,False
1142.988,66.74107,1.917596,39.2833,0.000001,310.8549,-0.000001,False
1142.995,66.74107,1.917596,39.2833,0.000001,310.8549,-0.000001,False
1143.001,66.74107,1.890128,39.2833,0.000001,310.8549,-0.000001,False
1143.008,66.74107,1.890128,39.2833,0.000001,310.8549,-0.000001,False
1143.015,66.74107,1.890128,39.2833,0.000001,310.8549,-0.000001,False
1143.022,66.74107,1.858736,39.2833,0.000001,310.8549,-0.000001,False
1143.029,66.74107,1.858736,39.2833,0.000001,310.8549,-0.000001,False
1143.036,66.74107,1.858736,39.2833,0.000001,310.8549,-0.000001,False
1143.043,66.74107,1.82342,39.2833,0.000001,310.8549,-0.000001,False
1143.05,66.74107,1.82342,39.2833,0.000001,310.8549,-0.000001,False
1143.057,66.74107,1.82342,39.2833,0.000001,310.8549,-0.000001,False
1143.064,66.74107,1.78418,39.2833,0.000001,310.8549,-0.000001,False
1143.071,66.74107,1.78418,39.2833,0.000001,310.8549,-0.000001,False
1143.078,66.74107,1.78418,39.2833,0.000001,310.8549,-0.000001,False
1143.085,66.74107,1.741016,39.2833,0.000001,310.8549,-0.000001,False
1143.092,66.74107,1.741016,39.2833,0.000001,310.8549,-0.000001,False
1143.099,66.74107,1.741016,39.2833,0.000001,310.8549,-0.000001,False
1143.105,66.74107,1.693928,39.2833,0.000001,310.8549,-0.000001,False
1143.112,66.74107,1.693928,39.2833,0.000001,310.8549,-0.000001,False
1143.119,66.74107,1.693928,39.2833,0.000001,310.8549,-0.000001,False
1143.126,66.74107,1.642916,39.2833,0.000001,310.8549,-0.000001,False
1143.133,66.74107,1.642916,39.2833,0.000001,310.8549,-0.000001,False
1143.14,66.74107,1.58798,39.2833,0.000001,310.8549,-0.000001,False
1143.147,66.74107,1.58798,39.2833,0.000001,310.8549,-0.000001,False
1143.154,66.74107,1.58798,39.2833,0.000001,310.8549,-0.000001,False
1143.161,66.74107,1.52912,39.2833,0.000001,310.8549,-0.000001,False
1143.168,66.74107,1.52912,39.2833,0.000001,310.8549,-0.000001,False
1143.175,66.74107,1.52912,39.2833,0.000001,310.8549,-0.000001,False
1143.182,66.74107,1.466336,39.2833,0.000001,310.8549,-0.000001,False
1143.189,66.74107,1.466336,39.2833,0.000001,310.8549,-0.000001,False
1143.196,66.74107,1.466336,39.2833,0.000001,310.8549,-0.000001,False
1143.203,66.74107,1.399628,39.2833,0.000001,310.8549,-0.000001,False
1143.21,66.74107,1.399628,39.2833,0.000001,310.8549,-0.000001,False
1143.217,66.74107,1.399628,39.2833,0.000001,310.8549,-0.000001,False
1143.224,66.74107,1.328996,39.2833,0.000001,310.8549,-0.000001,False
1143.23,66.74107,1.328996,39.2833,0.000001,310.8549,-0.000001,False
1143.237,66.74107,1.328996,39.2833,0.000001,310.8549,-0.000001,False
1143.244,66.74107,1.25444,39.2833,0.000001,310.8549,-0.000001,False
1143.251,66.74107,1.25444,39.2833,0.000001,310.8549,-0.000001,False
1143.258,66.74107,1.25444,39.2833,0.000001,310.8549,-0.000001,False
1143.265,66.74107,1.17596,39.2833,0.000001,310.8549,-0.000001,False
1143.272,66.74107,1.17596,39.2833,0.000001,310.8549,-0.000001,False
1143.279,66.74107,1.17596,39.2833,0.000001,310.8549,-0.000001,False
