experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,targets,start_x,start_z,object_x,object_z,cue,delay,ITI,trialType,speedForward,rotationSpeed,messageToDisplay,start_yRotation,end_z,euclideanDistance,objectName,triggerSend_timeStamp,objectNumber,navStartTime,navEndTime,navTime,timesObjectPresented,end_x,player_movement_location_0
OLM_practice,wad-1fef0ebb-53b5-4f78-b239-c6c5626adb18,1,1,1,1,11.54204,26.28,7,42.42640687,-42.42640687,57.95554958,15.52914271,2,1.5,1,encoding,15,50,-1,110.2350777,13.48294,2.466408,drum,11.54204,7,15.06233,26.28,11.21767,1,56.57851,OLM_practice/wad-1fef0ebb-53b5-4f78-b239-c6c5626adb18/S001/trackers/player_movement_T001.csv
OLM_practice,wad-1fef0ebb-53b5-4f78-b239-c6c5626adb18,1,2,2,1,27.30047,45.48,2,57.95554958,15.52914271,15.52914271,57.95554958,2,1.5,1.5,retrieval,15,50,-1,30.02474561,33.33625,35.50706,basketball,11.54204,2,30.81623,45.48,14.66377,1,41.11511,OLM_practice/wad-1fef0ebb-53b5-4f78-b239-c6c5626adb18/S001/trackers/player_movement_T002.csv
OLM_practice,wad-1fef0ebb-53b5-4f78-b239-c6c5626adb18,1,3,3,1,47.00806,57.6,9,15.52914271,57.95554958,-42.42640687,42.42640687,2,1,2,control,15,50,-1,182.3771932,43.61716,2.315525,gift,11.54204,9,50.01878,57.6,7.581219,1,-40.44051,OLM_practice/wad-1fef0ebb-53b5-4f78-b239-c6c5626adb18/S001/trackers/player_movement_T003.csv
