time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,moving
23.90911,2.885673,2,55.9081,-0.000005,0,-0.000059,False
23.92995,2.885673,1.996076,55.9081,-0.000005,0,-0.000059,False
23.95771,2.885673,1.988228,55.9081,-0.000005,0,-0.000059,False
23.97161,2.885673,1.976456,55.9081,-0.000005,0,-0.000059,False
23.98553,2.885673,1.96076,55.9081,-0.000005,0,-0.000059,False
24.01327,2.885673,1.94114,55.9081,-0.000005,0,-0.000059,False
24.02715,2.885673,1.917596,55.9081,-0.000005,0,-0.000059,False
24.04104,2.885673,1.890128,55.9081,-0.000005,0,-0.000059,False
24.05492,2.885673,1.890128,55.9081,-0.000005,0,-0.000059,False
24.06881,2.885673,1.858736,55.9081,-0.000005,0,-0.000059,False
24.0827,2.885673,1.82342,55.9081,-0.000005,0,-0.000059,False
24.11047,2.885673,1.78418,55.9081,-0.000005,0,-0.000059,False
24.12457,2.885673,1.741016,55.9081,-0.000005,0,-0.000059,False
24.13824,2.885673,1.741016,55.9081,-0.000005,0,-0.000059,False
24.15213,2.885673,1.693928,55.9081,-0.000005,0,-0.000059,False
24.15906,2.885673,1.693928,55.9081,-0.000005,0,-0.000059,False
24.17295,2.885673,1.642916,55.9081,-0.000005,0,-0.000059,False
24.18684,2.885673,1.58798,55.9081,-0.000005,0,-0.000059,False
24.2146,2.885673,1.52912,55.9081,-0.000005,0,-0.000059,False
24.22872,2.885673,1.466336,55.9081,-0.000005,0,-0.000059,False
24.24237,2.885673,1.399628,55.9081,-0.000005,0,-0.000059,False
24.25626,2.885673,1.399628,55.9081,-0.000005,0,-0.000059,False
24.27013,2.885673,1.328996,55.9081,-0.000005,0,-0.000059,False
24.28405,2.885673,1.25444,55.9081,-0.000005,0,-0.000059,False
24.29793,2.885673,1.25444,55.9081,-0.000005,0,-0.000059,False
24.31182,2.885673,1.17596,55.9081,-0.000005,0,-0.000059,False
24.32571,2.885673,1.093556,55.9081,-0.000005,0,-0.000059,False
24.34656,2.885673,1.007228,55.9081,-0.000005,0,-0.000059,False
24.36045,2.885673,1.001446,55.9081,-0.000001,0,-0.000031,False
24.37431,2.885673,1.001446,55.9081,-0.000001,0,-0.000031,False
24.38819,2.885672,1.000289,55.9081,-0.000002,0,-0.000005,False
24.40208,2.885672,1.000058,55.9081,-0.000002,0,0.000005,False
24.41597,2.885672,1.000058,55.9081,-0.000002,0,0.000005,False
24.42986,2.885672,1.000012,55.9081,-0.000001,0,0.000007,False
